全日本パワーリフティング選手権大会,2012-06-03,1,1,,,,,,,,,,,,,
三土手 大介,1,1,1,39,138.5,350,390,0,-315,315,-325,250,277.5,-295,982.5,549.92
福島 勇輝,1,1,1,25,81.25,260,-270,270,285,295,302.5,220,230,240,812.5,549.36
佐藤 義宏,1,1,1,29,65.3,240,250,260,190,197.5,200,215,230,-240,690,546.58
芦原 徹,1,1,1,21,72.35,280,290,295,185,192.5,195,250,257.5,-267.5,747.5,546.5
大谷 憲弘,1,1,1,32,73.1,290,-300,-300,192.5,200,205,250,257.5,-267.5,752.5,546.04
森 雅裕,1,1,1,40,82.55,280,292.5,297.5,225,230,-235,270,280,287.5,815,545.78
荒川 孝行,1,1,1,34,89.2,285,305,315,220,230,240,270,285,-302.5,840,538.71
小早川 渉,1,1,1,36,82.35,-300,300,-312.5,205,210,-215,275,285,-305,795,533.16
阿久津 貴史,1,1,1,29,99.4,315,332.5,-340,235,245,-252.5,255,-290,290,867.5,529.23
伊藤 学,1,1,1,50,72.55,250,260,270,175,-180,-180,265,-275,-275,710,518.03
伊勢崎 勝史,1,1,1,25,82.05,280,-300,-300,230,-240,-240,250,260,-285,770,517.53
奥谷 元哉,1,1,1,31,73,240,250,-260,222.5,230.5,,205,215,230,710.5,516.08
金澤 敬,1,1,1,29,82.8,260,280,290,220,-230,230,230,242.5,-262.5,762.5,509.7
久保 匡平,1,1,1,24,92.95,320,340,350,-210,210,220,230,242.5,-250,802.5,504.25
太田 慎也,1,1,1,28,64.9,225,-232.5,235,165,167.5,-170,230,-242.5,-242.5,632.5,503.61
池上 宏樹,1,1,1,21,63.6,225,-230,,140,145,-150,230,240,251.5,621.5,503.42
伊藤 禎浩,1,1,1,42,82.3,250,-260,260,222.5,235,240,232.5,242.5,250,750,503.16
飯村 貴弘,1,1,1,21,58.95,212.5,220,-225,-132.5,132.5,135,215,225,-243,580,502.78
渡辺 孝一,1,1,1,44,65.2,225,-235,-235,155,160,165,220,232.5,237.5,627.5,497.71
山本 達馬,1,1,1,32,108.4,300,310,315,-250,-255,255,250,260,270,840,496.61
森口 直樹,1,1,1,24,94.45,280,295,305,210,220,-230,245,260,-275,785,489.58
白石 匡,1,1,1,31,58.1,200,-210,-210,130,137.5,145,210,-225,-225,555,487.69
花田 俊博,1,1,1,20,107.3,300,310,317.5,210,217.5,225,260,277.5,-297.5,820,486.39
飯島 玄洋,1,1,1,44,104.4,300,312.5,320,-205,205,-210,260,275,282.5,807.5,483.5
渡部 大輔,1,1,1,29,64.7,190,205,215,155,-160,160,200,220,-225,595,474.98
佐久間 潤一,1,1,1,35,82.8,-255,255,-265,195,-205,205,-237.5,237.5,250,710,474.6
小国 正之,1,1,1,32,64.7,200,215,227.5,155,165,-175,175,190,200,592.5,472.99
髙橋 雅之,1,1,1,52,69.4,230,240,,180,-202.5,-202.5,190,205,-215,625,471.48
守屋 徹,1,1,1,41,89.65,240,260,270,195,210,215,230,250,-260,735,470.15
丹羽 弘典,1,1,1,51,65.3,210,220,227.5,120,125,130,220,230,232.5,590,467.37
日髙 豪志,1,1,1,25,82.6,255,-270,270,165,-175,177.5,230,242.5,250,697.5,466.92
福島 和文,1,1,1,45,92.5,262.5,272.5,282.5,165,172.5,180,255,270,277.5,740,466.06
蓑輪 優,1,1,1,38,92.05,245,257.5,267.5,190,200,-212.5,245,265,270,737.5,465.58
吉川 友樹,1,1,1,22,72.9,-220,220,230,152.5,157.5,162.5,225,235,245,637.5,463.51
吉岡 秀明,1,1,1,27,80.25,-240,245,-257.5,185,192.5,-197.5,-220,220,240,677.5,461.62
谷内 政公,1,1,1,32,58.3,185,195,-200,-125,125,-130,190,205,-210,525,459.84
堤 太郎,1,1,1,35,90.8,262.5,-277.5,-277.5,167.5,172.5,180,-255,255,267.5,710,451.24
福岡 広輔,1,1,1,20,81.75,210,225,230,-185,185,-197.5,230,242.5,-252.5,657.5,442.9
淺間 成敏,1,1,1,53,93.4,250,260,270,185,195,-200,230,240,-250,705,441.98
武村 力,1,1,1,45,90.05,240,250,,155,-165,,285,-305,,690,440.37
塩田 宗廣,1,1,1,34,82.9,-245,245,-255,160,165,167.5,225,235,245,657.5,439.19
村上 晃平,1,1,1,36,64.75,-210,210,-227.5,130,-150,-150,190,210,-220,550,438.78
中条 義喜,1,1,1,47,57.9,180,190,-195,102.5,110,112.5,185,195,-205,497.5,438.59
大石 圭太朗,1,1,1,31,64.15,190,-200,200,130,-140,-145,200,210,-220,540,434.2
相原 竜也,1,1,1,41,72.6,200,215,225,140,147.5,-152.5,205,215,-227.5,587.5,428.44
髙橋 竜介,1,1,1,31,91.7,247.5,265,-282.5,150,-157.5,-157.5,225,240,250,665,420.59
市川 正光,1,1,1,40,125,220,240,265,175,-185,185,-270,270,-300,720,410.29
西村 義人,1,1,1,21,64.95,250,-265,265,-160,-160,-160,232.5,-245,245,0,0
齋藤 誠一郎,1,1,1,43,102.9,-250,-262.5,-262.5,172.5,185,-197.5,230,-250,-250,0,0
福島 友佳子,0,1,1,41,45.25,165,175,182.5,117.5,122.5,126,150,160,170,478.5,661.04
北村 真由美,0,1,1,45,61.75,187.5,200,-210,150,157.5,-162.5,180,190,-200,547.5,597.03
池谷 あや子,0,1,1,43,55.45,157.5,-167.5,-167.5,102.5,-107.5,-107.5,160,167.5,-177.5,427.5,506.91
加藤 幸枝,0,1,1,38,55.3,-160,160,-172.5,90,95,-97.5,160,167.5,-177.5,422.5,502.04
寺村 美香,0,1,1,49,50.45,140,-147.5,150,87.5,-90,90,-140,145,-156,385,491.23
中井 敬子,0,1,1,35,50.55,130,-140,140,-85,85,90,145,-150,-155.5,375,477.75
木村 初子,0,1,1,60,52.6,-140,140,-155,65,72.5,-80,160,170,-181,382.5,472.62
田中 彰子,0,1,1,47,50.85,120,130,140,67.5,72.5,77.5,125,135,-140,352.5,447.06
大森 聖子,0,1,1,60,50.65,137.5,147.5,-152.5,-67.5,67.5,72.5,125,-130,130,350,445.23
新井 拡子,0,1,1,49,49.3,105,-115,-120,105.5,-110,-115.5,112.5,125,-135,335.5,435.6
磯田 あかね,0,1,1,41,53.85,115,125,130,85,-90,90,122.5,130,135,355,430.7
薄 亜由美,0,1,1,31,54.75,145,-150,150,75,77.5,-80,120,127.5,-130,355,425.15
古味 良子,0,1,1,57,61.35,125,135,-142.5,-110,-110,110,125,135,140,385,421.93
照屋 利恵,0,1,1,37,75.15,165,175,180,100,110,112.5,140,150,-155,442.5,420.13
林 和美,0,1,1,48,55.5,132.5,142.5,-147.5,70,77.5,-82.5,125,132.5,-137.5,352.5,417.68
長谷川 真紀,0,1,1,47,53.95,115,127.5,-132.5,72.5,77.5,80,117.5,127.5,132.5,340,411.9
南澤 さより,0,1,1,22,52.25,-140,140,-152.5,55,-60,60,120,127.5,130,330,409.87
岡本 美樹,0,1,1,46,45.55,100,105,-107.5,62.5,65,67.5,115,120,125,297.5,409.11
滝田 由美,0,1,1,40,54.55,115,122.5,127.5,75,80,85,110,122.5,-125,335,402.35
馬場 美貴子,0,1,1,51,55.55,110,-120,-120,60,65,67.5,110,120,125,302.5,358.18
高橋 聖子,0,1,1,42,45.5,90,-100,-100,50,-55,-60,95,105,-110,245,337.17
